iter	Passed	Remaining
0	970	969941
1	1890	943440
2	2781	924524
3	3660	911503
4	4510	897506
5	5441	901489
6	6361	902449
7	7339	910097
8	8230	906285
9	9166	907505
10	10025	901414
11	10906	897938
12	11792	895324
13	12696	894166
14	13587	892220
15	14482	890689
16	15378	889227
17	16234	885703
18	17157	885859
19	18065	885201
20	18969	884355
21	19903	884822
22	20864	886294
23	21861	889026
24	22722	886175
25	23619	884823
26	24516	883485
27	25486	884756
28	26354	882417
29	27225	880305
30	28187	881072
31	29115	880751
32	30001	879132
33	30920	878514
34	31812	877104
35	32708	875873
36	33602	874569
37	34482	872950
38	35386	871957
39	36399	873596
40	37475	876559
41	38456	877170
42	39354	875857
43	40274	875063
44	41282	876097
45	42207	875340
46	43193	875812
47	44126	875182
48	45055	874453
49	46048	874917
50	47000	874586
51	47902	873293
52	48861	873046
53	49878	873790
54	51072	877523
55	52085	878006
56	53063	877880
57	53953	876286
58	54862	875006
59	55829	874659
60	56743	873484
61	57695	872877
62	58633	872057
63	59532	870661
64	60445	869481
65	61379	868618
66	62287	867379
67	63248	866871
68	64147	865529
69	65100	864912
70	66001	863590
71	66893	862182
72	67760	860470
73	68641	858946
74	69583	858201
75	70548	857720
76	71503	857110
77	72469	856630
78	73390	855603
79	74511	856882
80	75548	857147
81	76551	856997
82	77491	856139
83	78477	855775
84	79462	855391
85	80385	854334
86	81351	853722
87	82292	852846
88	83271	852363
89	84288	852247
90	85218	851247
91	86296	851704
92	87317	851575
93	88330	851359
94	89343	851114
95	90368	850970
96	91372	850612
97	92371	850191
98	93523	851162
99	94620	851581
100	95766	852412
101	96861	852761
102	98010	853548
103	98989	852830
104	100081	853074
105	101163	853209
106	102096	852074
107	103156	851995
108	104166	851485
109	105064	850069
110	106088	849665
111	106984	848236
112	108021	847917
113	108998	847127
114	110003	846548
115	110959	845591
116	111896	844481
117	112885	843771
118	113865	842988
119	114832	842106
120	115924	842129
121	116980	841876
122	117968	841121
123	118896	839948
124	119841	838889
125	120843	838231
126	121784	837151
127	122753	836259
128	123735	835453
129	124804	835232
130	125783	834393
131	126685	833051
132	127625	831962
133	128531	830659
134	129501	829769
135	130419	828544
136	131353	827428
137	132364	826797
138	133302	825709
